MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2019-2020_Bournemouth_Everton,2019-2020,5,2019-09-15,14:00,Bournemouth,Everton,3,1,H,1.0,1.0,D,P Tierney,13.0,14.0,6.0,5.0,7.0,7.0,5.0,14.0,0.0,4.0,0.0,0.0,2.9,3.5,2.4,1.72,2.1,3.1,3.55,2.5,3.01,3.48,2.37,1.8,2.17,1.75,2.1,3,0
2019-2020_Watford_Arsenal,2019-2020,5,2019-09-15,16:30,Watford,Arsenal,2,2,D,0.0,2.0,A,A Taylor,31.0,10.0,7.0,4.0,7.0,1.0,14.0,4.0,3.0,3.0,0.0,0.0,3.6,3.6,2.0,1.57,2.37,3.9,3.9,2.08,3.64,3.74,2.01,1.61,2.56,1.57,2.41,1,1
2019-2020_Aston Villa_West Ham,2019-2020,5,2019-09-16,20:00,Aston Villa,West Ham,0,0,D,0.0,0.0,D,M Dean,10.0,13.0,5.0,1.0,2.0,4.0,13.0,12.0,2.0,1.0,0.0,1.0,2.62,3.5,2.6,1.61,2.3,2.7,3.67,2.7,2.64,3.56,2.63,1.67,2.42,1.62,2.31,1,1
2019-2020_Southampton_Bournemouth,2019-2020,6,2019-09-20,20:00,Southampton,Bournemouth,1,3,A,0.0,2.0,A,C Kavanagh,25.0,6.0,6.0,3.0,4.0,5.0,8.0,9.0,1.0,3.0,0.0,0.0,2.05,3.6,3.5,1.66,2.2,2.17,3.7,3.7,2.1,3.62,3.5,1.75,2.31,1.69,2.21,0,3
2019-2020_Leicester_Tottenham,2019-2020,6,2019-09-21,12:30,Leicester,Tottenham,2,1,H,0.0,1.0,A,P Tierney,16.0,11.0,7.0,4.0,8.0,2.0,16.0,13.0,1.0,2.0,0.0,0.0,2.87,3.5,2.37,1.8,2.0,2.95,3.6,2.55,2.87,3.5,2.45,1.85,2.11,1.79,2.04,3,0
2019-2020_Burnley_Norwich,2019-2020,6,2019-09-21,15:00,Burnley,Norwich,2,0,H,2.0,0.0,H,D Coote,13.0,11.0,6.0,2.0,7.0,3.0,11.0,10.0,0.0,1.0,0.0,0.0,2.0,3.8,3.5,1.66,2.2,2.05,3.9,3.8,1.99,3.76,3.67,1.71,2.3,1.67,2.22,3,0
2019-2020_Everton_Sheffield United,2019-2020,6,2019-09-21,15:00,Everton,Sheffield United,0,2,A,0.0,1.0,A,S Hooper,16.0,2.0,3.0,1.0,12.0,3.0,9.0,9.0,1.0,3.0,0.0,0.0,1.61,3.75,6.0,2.0,1.8,1.71,4.0,6.0,1.67,3.8,5.58,2.08,1.86,2.03,1.81,0,3
2019-2020_Man City_Watford,2019-2020,6,2019-09-21,15:00,Man City,Watford,8,0,H,5.0,0.0,H,M Dean,28.0,5.0,11.0,4.0,5.0,4.0,5.0,9.0,2.0,2.0,0.0,0.0,1.1,11.0,21.0,1.25,4.0,1.13,11.5,31.0,1.11,10.24,23.21,1.29,4.2,1.25,3.91,3,0
2019-2020_Newcastle_Brighton,2019-2020,6,2019-09-21,17:30,Newcastle,Brighton,0,0,D,0.0,0.0,D,M Atkinson,11.0,16.0,4.0,3.0,5.0,3.0,12.0,8.0,2.0,1.0,0.0,0.0,2.5,3.2,3.0,2.3,1.61,2.55,3.28,3.2,2.5,3.16,3.07,2.41,1.67,2.35,1.61,1,1
2019-2020_Crystal Palace_Wolves,2019-2020,6,2019-09-22,14:00,Crystal Palace,Wolves,1,1,D,0.0,0.0,D,S Attwell,13.0,14.0,4.0,4.0,6.0,7.0,7.0,10.0,2.0,1.0,0.0,1.0,2.62,3.1,2.87,2.37,1.57,2.7,3.2,3.0,2.64,3.11,2.93,2.45,1.63,2.37,1.59,1,1
