MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2023-2024_Luton_Wolves,2023-2024,6,2023-09-23,15:00,Luton,Wolves,1,1,D,0.0,0.0,D,J Smith,20.0,3.0,4.0,3.0,10.0,1.0,12.0,17.0,0.0,2.0,0.0,1.0,3.25,3.4,2.2,2.02,1.88,3.5,3.58,2.34,3.3,3.43,2.23,2.06,1.91,1.99,1.85,1,1
2023-2024_Man City_Nott'm Forest,2023-2024,6,2023-09-23,15:00,Man City,Nott'm Forest,2,0,H,2.0,0.0,H,A Taylor,7.0,10.0,4.0,3.0,6.0,6.0,5.0,17.0,3.0,7.0,1.0,0.0,1.14,8.5,15.0,1.4,3.0,1.17,9.8,21.0,1.15,8.55,18.11,1.46,3.1,1.41,2.94,3,0
2023-2024_Brentford_Everton,2023-2024,6,2023-09-23,17:30,Brentford,Everton,1,3,A,1.0,1.0,D,M Oliver,12.0,18.0,2.0,6.0,1.0,4.0,9.0,12.0,2.0,2.0,0.0,0.0,1.8,3.8,4.2,1.95,1.95,1.84,3.95,4.75,1.8,3.78,4.49,2.0,2.0,1.92,1.92,0,3
2023-2024_Burnley_Man United,2023-2024,6,2023-09-23,20:00,Burnley,Man United,0,1,A,0.0,1.0,A,T Harrington,12.0,11.0,4.0,4.0,9.0,5.0,6.0,12.0,1.0,2.0,0.0,0.0,4.2,4.2,1.73,1.62,2.3,4.6,4.4,1.8,4.31,4.16,1.75,1.66,2.43,1.61,2.36,0,3
2023-2024_Arsenal_Tottenham,2023-2024,6,2023-09-24,14:00,Arsenal,Tottenham,2,2,D,1.0,1.0,D,R Jones,13.0,13.0,6.0,5.0,11.0,4.0,12.0,19.0,3.0,4.0,0.0,0.0,1.67,4.33,4.33,1.5,2.63,1.76,4.6,4.75,1.7,4.36,4.5,1.54,2.69,1.51,2.58,1,1
2023-2024_Brighton_Bournemouth,2023-2024,6,2023-09-24,14:00,Brighton,Bournemouth,3,1,H,1.0,1.0,D,J Brooks,13.0,12.0,4.0,4.0,4.0,4.0,12.0,17.0,3.0,3.0,0.0,0.0,1.36,5.25,7.5,1.36,3.2,1.43,5.75,8.3,1.38,5.31,7.58,1.4,3.3,1.37,3.11,3,0
2023-2024_Chelsea_Aston Villa,2023-2024,6,2023-09-24,14:00,Chelsea,Aston Villa,0,1,A,0.0,0.0,D,J Gillett,10.0,15.0,4.0,7.0,5.0,11.0,9.0,11.0,2.0,3.0,0.0,0.0,1.91,3.75,3.8,1.73,2.1,1.96,4.0,4.1,1.91,3.85,3.87,1.74,2.26,1.7,2.2,0,3
2023-2024_Liverpool_West Ham,2023-2024,6,2023-09-24,14:00,Liverpool,West Ham,3,1,H,1.0,1.0,D,C Kavanagh,22.0,11.0,7.0,4.0,7.0,4.0,12.0,13.0,0.0,2.0,0.0,0.0,1.4,5.0,7.0,1.4,3.0,1.45,5.8,7.7,1.39,5.38,7.19,1.42,3.12,1.4,2.96,3,0
2023-2024_Sheffield United_Newcastle,2023-2024,6,2023-09-24,16:30,Sheffield United,Newcastle,0,8,A,0.0,3.0,A,S Attwell,9.0,22.0,1.0,15.0,2.0,6.0,12.0,8.0,3.0,0.0,0.0,0.0,7.0,4.75,1.44,1.67,2.2,7.5,5.1,1.51,7.01,4.78,1.45,1.71,2.34,1.66,2.25,0,3
2023-2024_Aston Villa_Brighton,2023-2024,7,2023-09-30,12:30,Aston Villa,Brighton,6,1,H,3.0,0.0,H,A Madley,19.0,11.0,9.0,3.0,1.0,3.0,19.0,21.0,4.0,4.0,0.0,0.0,2.55,3.75,2.55,1.44,2.75,2.65,4.11,2.65,2.56,3.92,2.55,1.45,2.98,1.43,2.84,3,0
2023-2024_Bournemouth_Arsenal,2023-2024,7,2023-09-30,15:00,Bournemouth,Arsenal,0,4,A,0.0,2.0,A,M Salisbury,8.0,15.0,1.0,8.0,6.0,6.0,11.0,10.0,0.0,1.0,0.0,0.0,5.5,4.5,1.53,1.53,2.5,6.0,4.9,1.58,5.77,4.68,1.53,1.58,2.56,1.54,2.49,0,3
2023-2024_Everton_Luton,2023-2024,7,2023-09-30,15:00,Everton,Luton,1,2,A,1.0,2.0,A,A Taylor,23.0,9.0,5.0,2.0,3.0,6.0,8.0,10.0,0.0,1.0,0.0,0.0,1.57,3.8,6.5,2.05,1.85,1.68,4.1,6.5,1.61,3.94,6.06,2.08,1.88,2.02,1.82,0,3
2023-2024_Man United_Crystal Palace,2023-2024,7,2023-09-30,15:00,Man United,Crystal Palace,0,1,A,0.0,1.0,A,C Kavanagh,19.0,8.0,4.0,2.0,10.0,4.0,10.0,8.0,3.0,2.0,0.0,0.0,1.55,4.2,5.75,1.8,2.0,1.61,4.5,6.1,1.57,4.3,5.89,1.83,2.14,1.77,2.08,0,3
2023-2024_Newcastle_Burnley,2023-2024,7,2023-09-30,15:00,Newcastle,Burnley,2,0,H,1.0,0.0,H,T Bramall,20.0,8.0,8.0,2.0,5.0,3.0,7.0,15.0,1.0,3.0,0.0,0.0,1.3,5.75,9.0,1.53,2.5,1.36,5.9,10.5,1.33,5.62,9.22,1.57,2.58,1.53,2.52,3,0
